# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000600   ---        --------
               6   N   00000600   0000e101   00000604   x10_a0     00000000
               7   N   00000604   00004e01   00000606   ---        --------
               8   N   00000606   00000297   00000608   x28_t3     00000000
               9   N   00000608   cf828293   0000060c   x05_t0     00000608
              10   N   0000060c   30529073   00000610   x05_t0     00000300
              11   N   00000610   00004505   00000614   ---        --------
              12   N   00000614   0000057e   00000616   x10_a0     00000001
              13   N   00000616   00054863   00000618   x10_a0     80000000
              14   N   00000618   0ff0000f   00000628   ---        --------
              17   N   00000628   00028f63   0000062c   x05_t0     00000000
              18   N   0000062c   10529073   0000064a   ---        --------
              22   N   0000064a   00006509   0000064e   ---        --------
              23   N   0000064e   00006509   0000064e   ---        --------
              24   N   0000064e   80050513   00000650   x10_a0     00002000
              25   N   00000650   30052073   00000654   x10_a0     00001800
              26   N   00000654   00000297   00000658   ---        --------
              27   N   00000658   00000297   00000658   ---        --------
              28   N   00000658   6bc28293   0000065c   x05_t0     00000658
              29   N   0000065c   34129073   00000660   x05_t0     00000d14
              30   N   00000660   f1402573   00000664   ---        --------
              31   N   00000664   30200073   00000668   x10_a0     00000000
              33   N   00000668   00000000   00000d14   ---        --------
              36   N   00000d14   00000000   00000d18   x28_t3     00000002
              37   E   00000d18   00000000   00000300   mstatus    00001800
              37   E   00000d18   00000000   00000300   mepc       00000d18
              37   E   00000d18   00000000   00000300   mcause     00000002
              37   E   00000d18   00000000   00000300   mtval      00000000
              40   N   00000300   000047a1   00000304   x14_a4     00000002
              41   N   00000304   04f70263   00000306   x15_a5     00000008
              42   N   00000306   000047a5   0000030a   ---        --------
              43   N   0000030a   02f70f63   0000030c   x15_a5     00000009
              44   N   0000030c   000047ad   00000310   ---        --------
              45   N   00000310   02f70c63   00000312   x15_a5     0000000b
              46   N   00000312   47ad0837   00000316   ---        --------
              48   N   00000316   02f71897   0000031a   x16_a6     f0000000
              50   N   0000031a   f0008893   0000031e   x17_a7     0000131a
              52   N   0000031e   00008783   00000322   x17_a7     00000d00
              55   N   00000322   0000c791   00000326   x15_a5     00000069
              56   N   00000326   00f82023   00000328   ---        --------
              58   N   00000328   00000885   0000032c   ---        --------
              59   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d01
              60   N   0000032e   08851717   00000322   ---        --------
              65   N   00000322   0000c791   00000326   x15_a5     0000006e
              66   N   00000326   00f82023   00000328   ---        --------
              68   N   00000328   00000885   0000032c   ---        --------
              69   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d02
              70   N   0000032e   08851717   00000322   ---        --------
              75   N   00000322   0000c791   00000326   x15_a5     00000073
              76   N   00000326   00f82023   00000328   ---        --------
              78   N   00000328   00000885   0000032c   ---        --------
              79   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d03
              80   N   0000032e   08851717   00000322   ---        --------
              85   N   00000322   0000c791   00000326   x15_a5     00000074
              86   N   00000326   00f82023   00000328   ---        --------
              88   N   00000328   00000885   0000032c   ---        --------
              89   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d04
              90   N   0000032e   08851717   00000322   ---        --------
              95   N   00000322   0000c791   00000326   x15_a5     00000072
              96   N   00000326   00f82023   00000328   ---        --------
              98   N   00000328   00000885   0000032c   ---        --------
              99   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d05
             100   N   0000032e   08851717   00000322   ---        --------
             105   N   00000322   0000c791   00000326   x15_a5     00000075
             106   N   00000326   00f82023   00000328   ---        --------
             108   N   00000328   00000885   0000032c   ---        --------
             109   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d06
             110   N   0000032e   08851717   00000322   ---        --------
             115   N   00000322   0000c791   00000326   x15_a5     00000063
             116   N   00000326   00f82023   00000328   ---        --------
             118   N   00000328   00000885   0000032c   ---        --------
             119   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d07
             120   N   0000032e   08851717   00000322   ---        --------
             125   N   00000322   0000c791   00000326   x15_a5     00000074
             126   N   00000326   00f82023   00000328   ---        --------
